model_id,model,make_id,make,body_type,region,origin
107,CT,25,LEXUS,hatchback,asia,japan
108,C-TYPE,20,JAGUAR,sports,europe,uk
109,CUBE,30,NISSAN,wagon,asia,japan
110,CX-3,26,MAZDA,suv,asia,japan
111,CX-5,26,MAZDA,suv,asia,japan
112,CX-7,26,MAZDA,suv,asia,japan
113,CXZ,18,ISUZU,truck,asia,japan
114,DAYZ,30,NISSAN,minicar,asia,japan
115,DEFENDER,24,LANDROVER,suv,europe,uk
116,DELICA,29,MITSUBISHI,familyvan,asia,japan
117,DEMIO,26,MAZDA,hatchback,asia,japan
118,DISCOVERY,24,LANDROVER,suv,europe,uk
119,D-MAX,18,ISUZU,pickup,asia,japan
120,DS,8,CITROEN,saloon,europe,france
121,DUALIS,30,NISSAN,suv,asia,japan
122,DUET,40,TOYOTA,minicar,asia,japan
123,DUSTER,34,RENAULT,suv,europe,france
124,DUTRO,15,HINO,truck,asia,japan
125,DYNA,40,TOYOTA,truck,asia,japan
126,E-CLASS,27,MERCEDESBENZ,saloon,europe,germany
127,ECOSPORT,13,FORD,suv,america,usa
128,EK,29,MITSUBISHI,minicar,asia,japan
129,ELF,18,ISUZU,truck,asia,japan
130,ELGRAND,30,NISSAN,minivan,asia,japan
131,ES,25,LEXUS,saloon,asia,japan
132,ESCAPE,13,FORD,suv,america,usa
133,ESCUDO,38,SUZUKI,suv,asia,japan
134,ESSE,9,DAIHATSU,minicar,asia,japan
135,ESTIMA,40,TOYOTA,wagon,asia,japan
136,EVEREST,13,FORD,suv,america,usa
137,EVERY,38,SUZUKI,minivan,asia,japan
138,EXIGA,37,SUBARU,suv,asia,japan
139,EXPLORER,13,FORD,suv,america,usa
140,FAMILIA,26,MAZDA,wagon,asia,japan
141,FIELDER,40,TOYOTA,wagon,asia,japan
142,FIESTA,13,FORD,hatchback,america,usa
143,FIT,16,HONDA,hatchback,asia,japan
144,FJCRUISER,40,TOYOTA,suv,asia,japan
145,FLAIR,26,MAZDA,minicar,asia,japan
146,FOCUS,13,FORD,coupe,america,usa
147,FORESTER,37,SUBARU,suv,asia,japan
148,FORTUNER,40,TOYOTA,suv,asia,japan
149,FORWARD,18,ISUZU,truck,asia,japan
150,F-PACE,20,JAGUAR,suv,europe,uk
151,FREED,16,HONDA,minivan,asia,japan
152,FREELANDER,24,LANDROVER,suv,europe,uk
153,FRR,18,ISUZU,truck,asia,japan
154,FSR,18,ISUZU,truck,asia,japan
155,FTS,18,ISUZU,truck,asia,japan
156,FUGA,30,NISSAN,saloon,asia,japan
157,FUNCARGO,40,TOYOTA,hatchback,asia,japan
158,FUSO,29,MITSUBISHI,truck,asia,japan
159,FVZ,18,ISUZU,truck,asia,japan
160,GAIA,40,TOYOTA,wagon,asia,japan
161,GALANT,29,MITSUBISHI,saloon,asia,japan
162,GALAXY,13,FORD,wagon,america,usa
163,G-CLASS,27,MERCEDESBENZ,suv,europe,germany
164,GIGA,18,ISUZU,truck,asia,japan
165,GIULIETTA,1,ALFAROMEO,hatchback,europe,italy
166,GLA-CLASS,27,MERCEDESBENZ,suv,europe,germany
